City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port-Cartier,CA,2021-08-03 00:04:06,50.0334,-66.8654,64.92,69,88,5.14
68,Wau,SS,2021-08-03 00:04:06,7.7029,27.9953,67.86,94,89,4.21
69,San Jose,US,2021-08-03 00:02:47,37.3394,-121.895,92.64,47,40,11.5
70,Puerto Gaitan,CO,2021-08-03 00:00:50,4.3133,-72.0816,71.1,89,82,6.96
71,Nome,US,2021-08-03 00:04:07,64.5011,-165.4064,59.16,88,90,16.11
72,Yaan,NG,2021-08-03 00:04:08,7.3833,8.5667,72.27,95,98,6.11
73,Moerai,PF,2021-08-03 00:04:08,-22.4333,-151.3333,75.24,77,68,19.24
74,Quatre Cocos,MU,2021-08-03 00:04:09,-20.2078,57.7625,65.7,73,1,4.56
75,Lethem,GY,2021-08-03 00:04:09,3.3803,-59.7968,74.97,87,99,3.67
76,Sydney,AU,2021-08-03 00:02:08,-33.8679,151.2073,65.32,81,40,1.99
77,Cape Town,ZA,2021-08-02 23:59:17,-33.9258,18.4232,57.11,93,0,3.44
78,Jardim,BR,2021-08-03 00:04:10,-21.4803,-56.1381,65.98,49,3,4.14
79,Castro,BR,2021-08-03 00:04:10,-24.7911,-50.0119,49.8,81,0,1.03
80,Mana,GF,2021-08-03 00:04:11,5.6592,-53.7767,77.65,84,39,7.14
81,Nemuro,JP,2021-08-03 00:04:11,43.3236,145.575,77.43,96,100,5.61
82,Sterling,US,2021-08-03 00:00:52,39.0062,-77.4286,78.87,57,1,5.75
83,Lompoc,US,2021-08-03 00:04:12,34.6391,-120.4579,89.02,66,1,12.66
84,Ponta Do Sol,PT,2021-08-03 00:04:12,32.6667,-17.1,72.72,76,10,7.14
85,Fairbanks,US,2021-08-03 00:03:50,64.8378,-147.7164,86.59,43,93,1.01
86,Cabo San Lucas,MX,2021-08-03 00:03:15,22.8909,-109.9124,97.52,66,40,13.35
87,Vaini,TO,2021-08-03 00:04:13,-21.2,-175.2,75.36,73,20,12.66
88,Tasiilaq,GL,2021-08-03 00:04:14,65.6145,-37.6368,46.56,83,100,2.44
89,Ouro Preto Do Oeste,BR,2021-08-03 00:04:14,-10.7481,-62.2158,77.02,32,21,4.61
90,Swan River,CA,2021-08-03 00:04:14,52.1058,-101.2676,92.21,19,100,9.22
91,Mount Isa,AU,2021-08-03 00:04:15,-20.7333,139.5,62.37,31,75,19.57
92,Shimoda,JP,2021-08-03 00:04:15,34.6667,138.95,84.31,82,94,7.4
93,Korla,CN,2021-08-03 00:04:16,41.7597,86.1469,78.42,22,98,2.39
94,Kruisfontein,ZA,2021-08-03 00:04:16,-34.0033,24.7314,45.88,91,1,6.08
95,West Bay,KY,2021-08-03 00:04:17,19.3667,-81.4167,85.06,80,93,1.99
96,Souillac,MU,2021-08-03 00:04:17,-20.5167,57.5167,66.52,68,0,1.86
