City ID,City,Country,Max Temp,Lat,Lng,Hotel Name
140,Lagoa Da Prata,BR,67.55,-20.0225,-45.5436,Pousada Parador da Figueira
141,Salinas,US,88.61,36.6777,-121.6555,Laurel Inn & Conference Center
142,Atuona,PF,77.45,-9.8,-139.0333,Villa Enata
143,Naze,JP,78.78,28.3667,129.4833,奄美ポートタワーホテル
145,Tilzapotla,MX,85.37,18.4833,-99.2667,"Quesería ""La pradera"""
146,Talnakh,RU,70.99,69.4865,88.3972,Talnakh Hotel
147,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
149,Puro,PH,84.69,12.4841,123.3827,
152,Kununurra,AU,78.78,-15.7667,128.7333,Hotel Kununurra
153,Madang,PG,83.89,-5.2246,145.7966,Comfort Inn Hotel
156,Lagoa,PT,71.87,39.05,-27.9833,Casa Das Faias
157,Faanui,PF,78.87,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
158,Solhan,TR,68.41,38.9634,41.0293,Solhan Ogretmenevi
160,Avera,US,87.67,33.194,-82.5271,
162,Cattolica,IT,73.13,43.9575,12.7376,Hotel Antares
165,Margate,GB,61.03,51.3813,1.3862,Premier Inn Margate hotel
167,Flinders,AU,62.38,-34.5833,150.8552,Shellharbour Resort & Conference Centre
169,Celestun,MX,85.32,20.8667,-90.4,Posada Lilia
170,Malinyi,TZ,63.16,-8.9333,36.1333,
171,Kavieng,PG,83.86,-2.5744,150.7967,Nusa Island Retreat
174,Kahului,US,84.97,20.8947,-156.47,Maui Seaside Hotel
175,Diffa,NE,83.19,13.3154,12.6113,ProDAF/Diffa
176,Nioki,CD,73.09,-2.7167,17.6833,
177,Vila Velha,BR,72.97,-20.3297,-40.2925,Quality Suites Vila Velha
181,Tura,IN,74.17,25.5198,90.2201,Hotel RIKMAN Continental
183,San Patricio,US,89.69,28.017,-97.5169,"Motel 6 Sinton, TX"
184,Manono,CD,70.66,-7.3,27.4167,Hotel hewa bora
186,Simao,CN,65.95,22.7886,100.9748,Changyu Hotel
188,Bima,ID,80.64,-8.4667,118.7167,Lambitu Hotel
189,Kabare,CD,62.65,-2.4683,28.8242,Hôtel Panorama
190,Poso,ID,80.02,-1.3959,120.7524,Hotel 77 Poso
191,Pamanukan,ID,76.05,-6.2842,107.8106,Paris Day Hotel Pamanukan
192,Williams Lake,CA,65.77,52.1415,-122.1445,Stampeder Motel
194,Palu,ID,80.24,-0.8917,119.8707,Hotel Santika Palu
196,Cayenne,GF,79.09,4.9333,-52.3333,Hôtel Le Dronmi
197,Ribeira Grande,PT,73.31,38.5167,-28.7,Quinta da Meia Eira
199,Cap Malheureux,MU,68.88,-19.9842,57.6142,Pereybere Hotel & Spa
200,Kalemie,CD,69.1,-5.9475,29.1947,Mahobilali
201,Gbadolite,CD,68.23,4.2833,21.0167,Zenic
202,Wattegama,LK,75.97,6.7989,81.4808,
203,Podor,MR,84.92,16.6527,-14.9587,Auberge Du Tékrour
204,Dire,ML,72.34,12.2833,-10.9667,
206,Monrovia,LR,76.19,6.3005,-10.7969,Sunset Inn
207,Vanimo,PG,84.24,-2.6741,141.3028,Vahmoneh Lodge Vanimo
208,Ocos,GT,88.32,14.5094,-92.1933,Auto Hotel El Soñador
210,Thompson,CA,80.49,55.7435,-97.8558,Burntwood Hotel
211,Asfi,MA,67.82,32.2994,-9.2372,Hôtel Abda
212,Svobodnyy,RU,64.38,51.4,128.1333,Alekseevskij Hotel
213,Bengkulu,ID,75.09,-3.8004,102.2655,Grage Hotel Bengkulu
214,Los Llanos De Aridane,ES,69.55,28.6585,-17.9182,Valle Aridane
216,Lorengau,PG,83.14,-2.0226,147.2712,Lorengau Harbourside Hotel
218,Kilgore,US,79.45,32.3863,-94.8758,Best Western Inn Of Kilgore
220,Sur,OM,87.37,22.5667,59.5289,Sur Plaza Hotel
221,Savannah Bight,HN,82.99,16.45,-85.85,Villa on Dunbar Rock
222,Khandyga,RU,74.3,62.6667,135.6,Apel'sin
223,Novikovo,RU,67.64,51.1537,37.8879,
224,Guacimo,CR,80.53,10.2104,-83.6807,Hotel Los Ríos
227,Allapalli,IN,75.22,19.4167,80.0667,Hotel IK Residency
229,Merauke,ID,78.13,-8.4667,140.3333,
230,Hami,CN,77.7,42.8,93.45,Laoyutang Resort
231,Baie-Saint-Paul,CA,66.97,47.4411,-70.4986,Hôtel Baie-Saint-Paul
232,Mongo,TD,77.34,12.1844,18.693,Résidences du Programme FIDA
233,Turbat,PK,83.03,26.0023,63.044,Mubashar Quarters
234,Saint-Augustin,CA,60.46,51.226,-58.6502,
235,Urrao,CO,60.13,6.3152,-76.1342,Finca Hotel Riomanso
236,Les Cayes,HT,79.72,18.2,-73.75,Villa Orphee
238,Madison,US,79.48,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
240,Saint-Louis,SN,83.21,16.3333,-15.0,
241,Buraydah,SA,84.06,26.326,43.975,فندق راحة السلام
242,Harper,LR,75.79,4.375,-7.7169,Screensaver
243,Sinnamary,GF,78.35,5.3833,-52.95,ALETHEIA Appartement Sinnamary
244,Fort Smith,US,84.34,35.3859,-94.3986,Hampton Inn Fort Smith
246,Sitka,US,62.49,57.0531,-135.33,Westmark Sitka
247,Laurel,US,78.51,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
248,Bambous Virieux,MU,66.36,-20.3428,57.7575,Casa Tia Villa
249,Cabadiangan,PH,83.17,9.7531,122.4739,Kipot
250,Humaita,BR,82.56,-7.5061,-63.0208,Corrêa Hotel
251,Jinka,ET,64.31,5.65,36.65,
252,Sarangani,PH,83.8,5.4033,125.4636,Ballistic Islet
253,Kampong Thum,KH,79.54,12.7111,104.8887,Sambor Village Hotel
254,Yeppoon,AU,72.79,-23.1333,150.7333,Villa Mar Colina
255,Villa Bruzual,VE,71.47,9.3328,-69.1208,Edificio Guarente
256,Natal,BR,74.16,-5.795,-35.2094,Villa Park Hotel | Natal
258,Yatou,CN,78.37,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
259,Arua,UG,61.2,3.0201,30.9111,Golden Courts Hotel
261,Arraial Do Cabo,BR,68.58,-22.9661,-42.0278,Pousada Porto Praia
262,Laem Sing,TH,81.34,12.4816,102.0738,Laemsing Whitehouse Resort
263,Sayaxche,GT,78.94,16.5167,-90.1667,Hotel y Auto Hotel Arizona
264,Mlonggo,ID,76.89,-6.5333,110.7,Asia Metal Art
265,Valley City,US,88.79,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
266,Caravelas,BR,66.42,-17.7125,-39.2481,Pousada dos Navegantes
268,Maputo,MZ,62.22,-25.9653,32.5892,Pestana Rovuma
271,Axim,GH,76.5,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
273,Palmer,US,73.0,42.1584,-72.3287,Wedgewood Motel
276,Taguatinga,BR,72.21,-12.3857,-46.5711,
280,Saint Anthony,US,82.94,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
281,Amapa,BR,76.01,1.0,-52.0,
283,Marystown,CA,60.3,47.1666,-55.1483,Marystown Hotel & Convention Centre
284,Annau,TM,80.1,37.8876,58.516,Buzmein Sokak
285,Takoradi,GH,75.92,4.8845,-1.7554,Raybow International Hotel
286,Malatya,TR,80.65,38.5,38.0,
287,Kavaratti,IN,82.09,10.5669,72.642,Hotels in Lakshadweep Islands
289,Hobyo,SO,77.25,5.3505,48.5268,Halane Hotel and Restaurent
290,Fort Nelson,CA,88.57,58.8053,-122.7002,The Fort Nelson Hotel
291,Galeana,MX,72.32,24.8333,-100.0667,Mirador
293,Warri,NG,75.99,5.5167,5.75,BON Hotel Delta
294,Igarka,RU,63.63,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
295,Kurumkan,RU,64.87,54.3,110.3,Ilikchin
297,Borogontsy,RU,73.02,62.6683,131.1683,
299,Itarema,BR,76.19,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
300,Sioux Lookout,CA,79.74,50.1001,-91.917,Knobby's Fly-In Camps
301,Mustafabad,PK,89.76,30.8922,73.4989,Khawaja Shop
305,Sao Filipe,CV,76.64,14.8961,-24.4956,Hotel Xaguate
306,Pisco,PE,62.65,-13.7,-76.2167,Hotel San Isidro Oficial
309,Road Town,VG,82.49,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
310,Zarand,IR,76.77,30.8127,56.564,خونه بابا حمید
311,Sam Chuk,TH,79.86,14.7576,100.0899,Samchuk Resort
312,La Romana,DO,78.85,18.4273,-68.9728,Casa de Campo Resort and Villas
313,Maunabo,PR,81.7,18.0072,-65.8993,Maunacaribe
314,Weinan,CN,79.5,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
315,Gorno-Altaysk,RU,60.96,51.9561,85.955,"Otel' "" Ryzhiy Pos"""
318,Antalaha,MG,64.26,-14.9003,50.2788,Hotel Vitasoa
320,San Buenaventura,MX,85.12,27.0833,-101.5333,Hotel Gran Plaza
322,Ranong,TH,80.17,9.9658,98.6348,Tinidee Hotel@Ranong
